fixture,seed,policy,tol,step,initial_belief,reference,belief,state_delta,accepted_agreement,all_input_agreement,coverage,reference_error,reference_acceptance,rejected_total,reference_rejected_total
all_rejected,-1,reference_only,0.0,5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,6,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,7,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,8,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,9,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,10,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,11,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,12,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,13,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,14,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,15,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,16,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,17,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,18,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,19,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,20,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,21,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,22,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,23,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,24,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,25,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,26,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,27,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,28,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,29,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,30,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,31,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,32,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,33,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,34,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,35,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,36,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,37,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,38,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,39,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,40,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,41,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,42,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,43,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,44,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,45,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,46,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,47,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,48,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,49,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,50,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,51,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,52,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,53,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,54,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,55,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,56,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,57,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,58,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,59,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,60,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,61,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,62,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,63,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,64,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,65,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,66,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,67,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,68,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,69,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,70,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,71,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,72,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,73,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,74,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,75,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,76,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,77,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,78,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,79,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,80,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,gated,0.01,1,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1,1
all_rejected,-1,gated,0.01,2,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,2,2
all_rejected,-1,gated,0.01,3,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,3,3
all_rejected,-1,gated,0.01,4,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,4,4
all_rejected,-1,gated,0.01,5,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,5,5
all_rejected,-1,gated,0.01,6,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,6,6
all_rejected,-1,gated,0.01,7,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,7,7
all_rejected,-1,gated,0.01,8,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,8,8
all_rejected,-1,gated,0.01,9,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,9,9
all_rejected,-1,gated,0.01,10,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,10,10
all_rejected,-1,gated,0.01,11,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,11,11
all_rejected,-1,gated,0.01,12,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,12,12
all_rejected,-1,gated,0.01,13,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,13,13
all_rejected,-1,gated,0.01,14,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,14,14
all_rejected,-1,gated,0.01,15,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,15,15
all_rejected,-1,gated,0.01,16,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,16,16
all_rejected,-1,gated,0.01,17,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,17,17
all_rejected,-1,gated,0.01,18,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,18,18
all_rejected,-1,gated,0.01,19,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,19,19
all_rejected,-1,gated,0.01,20,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,20,20
all_rejected,-1,gated,0.01,21,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,21,21
all_rejected,-1,gated,0.01,22,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,22,22
all_rejected,-1,gated,0.01,23,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,23,23
all_rejected,-1,gated,0.01,24,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,24,24
all_rejected,-1,gated,0.01,25,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,25,25
all_rejected,-1,gated,0.01,26,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,26,26
all_rejected,-1,gated,0.01,27,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,27,27
all_rejected,-1,gated,0.01,28,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,28,28
all_rejected,-1,gated,0.01,29,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,29,29
all_rejected,-1,gated,0.01,30,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,30,30
all_rejected,-1,gated,0.01,31,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,31,31
all_rejected,-1,gated,0.01,32,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,32,32
all_rejected,-1,gated,0.01,33,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,33,33
all_rejected,-1,gated,0.01,34,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,34,34
all_rejected,-1,gated,0.01,35,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,35,35
all_rejected,-1,gated,0.01,36,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,36,36
all_rejected,-1,gated,0.01,37,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,37,37
all_rejected,-1,gated,0.01,38,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,38,38
all_rejected,-1,gated,0.01,39,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,39,39
all_rejected,-1,gated,0.01,40,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,40,40
all_rejected,-1,gated,0.01,41,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,41,41
all_rejected,-1,gated,0.01,42,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,42,42
all_rejected,-1,gated,0.01,43,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,43,43
all_rejected,-1,gated,0.01,44,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,44,44
all_rejected,-1,gated,0.01,45,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,45,45
all_rejected,-1,gated,0.01,46,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,46,46
all_rejected,-1,gated,0.01,47,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,47,47
all_rejected,-1,gated,0.01,48,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,48,48
all_rejected,-1,gated,0.01,49,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,49,49
all_rejected,-1,gated,0.01,50,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,50,50
all_rejected,-1,gated,0.01,51,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,51,51
all_rejected,-1,gated,0.01,52,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,52,52
all_rejected,-1,gated,0.01,53,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,53,53
all_rejected,-1,gated,0.01,54,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,54,54
all_rejected,-1,gated,0.01,55,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,55,55
all_rejected,-1,gated,0.01,56,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,56,56
all_rejected,-1,gated,0.01,57,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,57,57
all_rejected,-1,gated,0.01,58,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,58,58
all_rejected,-1,gated,0.01,59,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,59,59
all_rejected,-1,gated,0.01,60,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,60,60
all_rejected,-1,gated,0.01,61,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,61,61
all_rejected,-1,gated,0.01,62,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,62,62
all_rejected,-1,gated,0.01,63,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,63,63
all_rejected,-1,gated,0.01,64,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,64,64
all_rejected,-1,gated,0.01,65,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,65,65
all_rejected,-1,gated,0.01,66,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,66,66
all_rejected,-1,gated,0.01,67,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,67,67
all_rejected,-1,gated,0.01,68,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,68,68
all_rejected,-1,gated,0.01,69,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,69,69
all_rejected,-1,gated,0.01,70,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,70,70
all_rejected,-1,gated,0.01,71,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,71,71
all_rejected,-1,gated,0.01,72,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,72,72
all_rejected,-1,gated,0.01,73,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,73,73
all_rejected,-1,gated,0.01,74,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,74,74
all_rejected,-1,gated,0.01,75,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,75,75
all_rejected,-1,gated,0.01,76,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,76,76
all_rejected,-1,gated,0.01,77,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,77,77
all_rejected,-1,gated,0.01,78,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,78,78
all_rejected,-1,gated,0.01,79,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,79,79
all_rejected,-1,gated,0.01,80,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,80,80
all_rejected,-1,accept_all,0.01,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,6,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,7,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,8,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,9,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,10,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,11,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,12,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,13,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,14,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,15,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,16,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,17,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,18,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,19,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,20,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,21,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,22,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,23,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,24,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,25,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,26,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,27,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,28,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,29,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,30,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,31,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,32,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,33,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,34,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,35,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,36,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,37,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,38,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,39,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,40,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,41,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,42,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,43,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,44,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,45,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,46,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,47,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,48,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,49,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,50,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,51,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,52,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,53,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,54,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,55,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,56,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,57,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,58,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,59,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,60,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,61,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,62,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,63,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,64,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,65,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,66,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,67,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,68,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,69,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,70,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,71,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,72,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,73,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,74,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,75,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,76,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,77,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,78,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,79,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,accept_all,0.01,80,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.01,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.01,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
